Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Forecasts,Soba,2024Q2,266.24019083,138.73250393,393.74787774,0,-2.37570925,2.3576852963,244.53028534,225.42063894,262.87088654,17.914867096,7.9230628535,27.906671338,122.2105867,74.937701123,164.57172926
Forecasts,Soba,2024Q3,282.40275449,63.972750868,500.83275812,0,-2.140123679,2.0629597782,309.11593575,277.66212008,341.43086183,25.836153726,14.525938369,37.146369084,187.07278834,89.06136715,265.66023445
Forecasts,Soba,2024Q4,296.39282402,0,666.95786692,0,-5.281400482,5.0089441258,374.97134557,322.59719763,432.26868727,22.648451587,11.156010683,34.140892492,241.80646497,84.336220998,388.63837123
Forecasts,Zangon Kataf,2024Q1,265.90800564,230.16880336,301.82643133,-0.273848806,-4.485974101,3.9593992736,190.46325196,150.81293238,230.27563698,79.928740087,72.052049387,87.805430786,263.99335367,219.37389097,308.61281637
Forecasts,Zangon Kataf,2024Q2,274.45774393,221.65551519,328.77666682,-10.53420536,-24.7943669,0.3177228461,192.82729572,46.830747657,279.32974385,86.668690853,76.46598843,96.871393276,291.46876148,108.46253077,474.47499219
Forecasts,Zangon Kataf,2024Q3,280.27683175,205.41118608,356.90048986,-0.479371335,-7.326245878,3.0817830418,199.87783548,4.7684744571,409.86800163,93.40864162,77.457222341,109.3600609,286.37574936,0,660.88927482
Forecasts,Zangon Kataf,2024Q4,284.20247642,191.13124474,383.59236503,-2.262005427,-119.7701175,6.9862090355,200.41450604,0,593.38028738,100.14859239,76.068558332,124.22862644,303.50639279,0,833.49355904
Forecasts,Zaria,2024Q1,751.93548599,665.02084812,839.28597966,4.922972342,-2.479913921,12.36298228,688.50258791,355.68400637,1021.3211694,132.08072672,96.525816006,167.63563743,790.29751925,710.0337574,870.56128109
Forecasts,Zaria,2024Q2,783.57890864,594.37499142,974.13068525,32.721121884,4.0482809598,57.15107883,719.64382545,0,1568.1158285,132.55141504,77.681401377,187.4214287,846.87405891,604.16408596,1089.5840319
Forecasts,Zaria,2024Q3,862.73830688,592.13039512,1130.7837182,217.48483294,5.3925403315,764.89800678,806.26118113,0,2067.5104382,133.01999808,72.408307948,193.63168821,860.92073839,527.19331898,1194.6481578
Forecasts,Zaria,2024Q4,852.35063499,540.0509703,1154.5840269,1445.5388396,8.6953671496,10431.555558,719.4683359,0,2252.445784,133.48648526,24.489270913,242.48369962,836.68899214,431.91763696,1241.4603473
