Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Jema'A,2020Q2,37,,,2,,,34,,,5,,,39,,
Original Data,Jema'A,2020Q3,48,,,0,,,41,,,7,,,48,,
Original Data,Jema'A,2020Q4,57,,,0,,,45,,,12,,,57,,
Original Data,Kachia,2020Q1,146,,,2,,,146,,,2,,,148,,
Original Data,Kachia,2020Q2,127,,,0,,,124,,,3,,,127,,
Original Data,Kachia,2020Q3,140,,,1,,,133,,,8,,,141,,
Original Data,Kachia,2020Q4,167,,,0,,,156,,,11,,,167,,
Original Data,Kaduna North,2020Q1,165,,,13,,,124,,,54,,,178,,
Original Data,Kaduna North,2020Q2,184,,,6,,,160,,,30,,,190,,
Original Data,Kaduna North,2020Q3,251,,,5,,,220,,,36,,,256,,
Original Data,Kaduna North,2020Q4,321,,,14,,,268,,,67,,,335,,
Original Data,Kaduna South,2020Q1,224,,,9,,,141,,,92,,,233,,
Original Data,Kaduna South,2020Q2,192,,,16,,,90,,,118,,,208,,
Original Data,Kaduna South,2020Q3,211,,,8,,,137,,,82,,,219,,
Original Data,Kaduna South,2020Q4,235,,,4,,,173,,,66,,,239,,
Original Data,Kagarko,2020Q1,13,,,0,,,11,,,2,,,13,,
Original Data,Kagarko,2020Q2,14,,,3,,,14,,,3,,,17,,
Original Data,Kagarko,2020Q3,12,,,1,,,12,,,1,,,13,,
Original Data,Kagarko,2020Q4,26,,,0,,,26,,,0,,,26,,
Original Data,Kajuru,2020Q1,18,,,0,,,18,,,0,,,18,,
Original Data,Kajuru,2020Q2,21,,,0,,,19,,,2,,,21,,
Original Data,Kajuru,2020Q3,23,,,0,,,23,,,0,,,23,,
