,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total examined with Xpert,Total examined with AFB,Total examined with TB LAMP/LF-LAM,Screened with X-ray,MTB detected,Smear positive,TB LAMP/LF LAM,Chest X-ray suggestive,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Referred from the community,Referred from the PPM
63,2021,4,KUDAN,832,816,16,832,787,121,0,67,29,4,0,3,36,0,6,506,320,0,174,0
64,2021,1,LERE,518,480,38,518,477,0,0,12,39,0,0,12,51,1,11,39,468,0,12,27
65,2021,2,LERE,589,542,47,589,585,0,0,8,49,0,0,8,57,0,6,583,0,0,36,49
66,2021,3,LERE,648,610,38,648,580,2,0,11,32,1,1,11,45,0,11,28,609,0,64,2
67,2021,4,LERE,784,754,30,784,780,2,0,4,53,2,0,4,59,3,4,179,601,0,184,0
68,2021,1,MARKARFI,873,865,8,873,588,278,0,97,34,3,0,21,58,0,2,871,0,0,206,155
69,2021,2,MARKARFI,676,654,22,676,483,175,0,100,34,5,0,21,60,0,5,671,0,0,10,171
70,2021,3,MARKARFI,897,862,35,897,852,45,0,140,44,0,0,26,70,0,5,892,0,0,94,7
71,2021,4,MARKARFI,1271,1253,18,1271,950,321,0,220,55,5,0,31,91,0,6,1265,0,1,134,18
72,2021,1,SABON GARI,1378,1378,0,1378,1353,14,0,11,41,14,0,11,66,0,0,1378,0,0,285,638
73,2021,2,SABON GARI,1564,1564,0,1564,1535,7,0,16,53,7,0,22,82,0,0,1564,0,0,560,542
74,2021,3,SABON GARI,1641,1640,1,1641,1610,3,0,17,85,4,0,18,107,1,0,1641,0,0,693,533
75,2021,4,SABON GARI,1885,1885,0,1885,1783,19,0,14,77,19,0,23,119,0,0,1885,0,0,867,503
76,2021,1,SANGA,194,181,13,194,21,139,0,4,7,15,0,6,28,1,13,181,0,0,11,56
77,2021,2,SANGA,266,261,5,266,5,261,0,4,1,20,0,4,25,0,2,264,0,0,6,58
78,2021,3,SANGA,252,227,25,252,64,178,0,4,7,11,0,4,22,0,8,244,0,0,215,37
79,2021,4,SANGA,217,192,25,217,37,185,0,15,4,1,0,15,20,0,7,210,0,5,20,4
80,2021,1,SOBA,776,776,0,776,394,369,0,13,27,15,0,1,43,0,0,43,733,0,0,647
81,2021,2,SOBA,625,624,1,625,544,69,0,11,46,6,0,3,55,0,0,55,570,0,8,435
82,2021,3,SOBA,684,674,10,669,455,165,0,57,35,9,0,10,54,0,0,54,630,0,86,423
83,2021,4,SOBA,598,592,6,598,429,106,0,62,35,7,0,3,45,0,1,44,553,0,72,357
84,2021,1,ZANGON KATAF,554,554,0,554,375,126,0,47,32,13,0,11,56,0,20,534,0,0,148,0
85,2021,2,ZANGON KATAF,667,667,0,667,415,171,0,82,34,14,0,14,62,0,30,637,0,0,299,234
86,2021,3,ZANGON KATAF,570,570,0,570,325,183,0,62,29,11,0,13,53,0,24,546,0,0,268,0
87,2021,4,ZANGON KATAF,793,793,0,793,541,180,0,72,51,5,0,8,64,0,33,760,0,0,325,30
88,2021,1,ZARIA,2406,2406,0,2406,153,0,0,36,153,0,0,36,189,3,0,0,2406,0,366,1178
89,2021,2,ZARIA,4258,4258,0,4258,4258,0,0,37,241,0,0,37,278,9,9,4249,0,0,1872,962
90,2021,3,ZARIA,4762,4754,8,4762,4762,0,0,26,328,0,0,26,354,4,13,4749,0,0,2166,122
91,2021,4,ZARIA,5252,5252,0,5256,4831,182,0,296,352,21,0,57,430,5,17,5235,0,0,3195,99
