Year,Quarter,LGA,Total number of presumptives,PresumptiveDS-TB,PresumptiveDR-TB,Examined for diagnosis,Total Examined with Xpert,Total Examined with Truenat,Total Examined with AFB,Total Examined with TB LAMP,Total Examined with LF-LAM and others,Screened with X-ray,MTB Detected,Truenat Positive,Smear Positive,TB Lamp Positive,LF LAM Positive,Chest X-ray Suggestive,Other Clinical Dianosis,Total Diagnosed,Rifampicin Resistant,HIV Positive,HIV Negative,HIV Unknown,No. of Presumptives that are HCWs,Referred from the community,Referred from the PPM,No of Presumptive that are tested for COVID-19,No of Presumptive that are Positive for COVID-19
2023,4,Kubao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Kudan,991,970,21,991,909,0,25,0,0,57,46,0,4,0,0,10,0,60,0,15,459,517,0,182,40,0,0
2023,2,Kudan,1341,1307,34,1301,1215,0,5,0,0,81,62,0,0,0,0,10,0,72,0,11,1113,217,0,240,254,0,0
2023,3,Kudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Kudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Lere,924,900,24,922,917,0,0,0,0,5,46,0,0,0,0,5,0,51,0,0,0,924,0,251,0,0,0
2023,2,Lere,1123,1109,14,1116,1102,0,0,2,0,12,39,0,0,2,0,5,15,61,1,1,1122,0,0,293,396,0,0
2023,3,Lere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Lere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Makarfi,2036,2016,20,2036,1837,0,1,5,0,193,99,0,1,5,0,36,1,142,0,5,2031,0,0,870,28,142,0
2023,2,Makarfi,2287,2269,18,2287,2098,0,0,2,0,187,137,0,0,2,0,35,0,174,2,7,2280,0,0,151,269,174,0
2023,3,Makarfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Makarfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Sabon Gari,7446,7446,0,7446,7396,0,9,0,0,41,245,0,9,0,0,41,0,295,0,2,7444,0,0,2331,1454,0,0
2023,2,Sabon Gari,6420,6420,0,6420,6348,0,23,0,0,49,243,0,21,0,0,49,0,313,0,0,6420,0,0,1310,1617,0,0
2023,3,Sabon Gari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Sabon Gari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Sanga,908,893,15,906,780,0,113,3,0,10,50,0,21,3,0,10,0,84,0,6,902,0,0,674,125,448,0
2023,2,Sanga,511,506,5,511,461,0,37,3,0,10,33,0,2,3,0,10,0,48,0,5,506,0,0,356,95,261,0
2023,3,Sanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Sanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Soba,1399,1395,4,1399,1313,0,66,0,0,20,76,0,8,0,0,6,0,90,0,0,90,1309,0,588,513,0,0
