Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter,,
2019,4,Igabi,Female,0,2,7,8,2,1,2,3,25,2019 Q4,,
2019,4,Ikara,Male,0,0,2,3,3,2,1,1,12,2019 Q4,,
2019,4,Ikara,Female,0,1,3,4,2,0,0,0,10,2019 Q4,,
2019,4,Jaba,Male,0,0,1,5,3,1,2,0,12,2019 Q4,,
2019,4,Jaba,Female,0,0,2,0,1,0,0,0,3,2019 Q4,,
2019,4,Jema'a,Male,0,0,1,5,10,10,2,3,31,2019 Q4,,
2019,4,Jema'a,Female,1,0,1,3,3,1,1,2,12,2019 Q4,,
2019,4,Kachia,Male,0,1,4,6,14,11,7,3,46,2019 Q4,,
2019,4,Kachia,Female,0,0,2,9,8,6,5,3,33,2019 Q4,,
2019,4,Kaduna North,Male,0,3,17,36,22,13,4,5,100,2019 Q4,,
2019,4,Kaduna North,Female,0,5,14,25,20,7,2,3,76,2019 Q4,,
2019,4,Kaduna South,Male,0,2,17,30,40,22,6,15,132,2019 Q4,,
2019,4,Kaduna South,Female,0,3,13,13,8,7,5,3,52,2019 Q4,,
2019,4,Kagarko,Male,0,0,3,3,1,0,1,2,10,2019 Q4,,
2019,4,Kagarko,Female,0,1,1,1,2,1,0,0,6,2019 Q4,,
2019,4,Kajuru,Male,0,0,0,7,3,2,3,0,15,2019 Q4,,
2019,4,Kajuru,Female,0,0,1,3,1,1,,0,6,2019 Q4,,
2019,4,Kaura,Male,0,0,0,1,6,3,3,1,14,2019 Q4,,
2019,4,Kaura,Female,0,1,2,2,2,1,0,0,8,2019 Q4,,
2019,4,Kauru,Male,0,1,2,4,6,1,0,2,16,2019 Q4,,
2019,4,Kauru,Female,0,0,1,2,0,0,0,0,3,2019 Q4,,
2019,4,Kubau,Male,0,0,1,4,4,3,0,0,12,2019 Q4,,
2019,4,Kubau,Female,0,0,0,2,4,2,0,0,8,2019 Q4,,
2019,4,Kudan,Male,0,0,4,0,0,1,0,1,6,2019 Q4,,
2019,4,Kudan,Female,0,3,4,1,5,1,2,1,17,2019 Q4,,
2019,4,Lere,Male,0,0,2,4,7,3,1,1,18,2019 Q4,,
2019,4,Lere,Female,0,1,2,3,2,1,0,0,9,2019 Q4,,
2019,4,Markafi,Male,0,0,3,5,6,2,6,6,28,2019 Q4,,
2019,4,Markafi,Female,0,2,2,5,3,3,0,0,15,2019 Q4,,
2019,4,Sabon-Gari,Male,2,4,4,14,13,9,2,3,51,2019 Q4,,
2019,4,Sabon-Gari,Female,1,8,6,8,4,6,4,3,40,2019 Q4,,
2019,4,Sanga,Male,0,0,2,2,3,2,0,4,13,2019 Q4,,
2019,4,Sanga,Female,0,0,2,4,3,3,1,3,16,2019 Q4,,
2019,4,Soba,Male,0,0,3,2,0,0,1,0,6,2019 Q4,,
2019,4,Soba,Female,0,0,2,4,2,2,1,0,11,2019 Q4,,
2019,4,Zango-Kataf,Male,0,0,2,2,7,5,2,0,18,2019 Q4,,
2019,4,Zango-Kataf,Female,0,0,1,1,1,2,2,0,7,2019 Q4,,
2019,4,Zaria,Male,0,3,16,25,16,11,4,3,78,2019 Q4,,
2019,4,Zaria,Female,0,3,10,14,7,8,4,2,48,2019 Q4,,
2020,1,Birnin-Gwari,Male,0,0,2,2,4,0,1,0,9,2020 Q1,,
2020,1,Birnin-Gwari,Female,0,1,0,1,1,1,0,0,4,2020 Q1,,
2020,1,Chikun,Male,0,1,7,17,20,7,6,1,59,2020 Q1,,
2020,1,Chikun,Female,0,0,6,7,6,1,2,0,22,2020 Q1,,
2020,1,Giwa,Male,14,10,1,3,2,3,3,0,36,2020 Q1,,
2020,1,Giwa,Female,9,6,1,7,5,2,0,0,30,2020 Q1,,
2020,1,Igabi,Male,0,2,8,15,7,8,2,1,43,2020 Q1,,
2020,1,Igabi,Female,0,1,8,4,3,0,0,1,17,2020 Q1,,
2020,1,Ikara,Male,0,0,3,4,3,1,0,0,11,2020 Q1,,
2020,1,Ikara,Female,1,0,2,0,0,2,0,1,6,2020 Q1,,
2020,1,Jaba,Male,0,0,1,5,3,1,1,2,13,2020 Q1,,
2020,1,Jaba,Female,0,0,0,0,0,0,2,0,2,2020 Q1,,
2020,1,Jema'a,Male,0,0,4,9,9,6,7,0,35,2020 Q1,,
2020,1,Jema'a,Female,0,0,1,3,2,3,1,1,11,2020 Q1,,
2020,1,Kachia,Male,0,0,5,17,20,22,11,6,81,2020 Q1,,
2020,1,Kachia,Female,0,0,1,17,17,13,13,6,67,2020 Q1,,
2020,1,Kaduna North,Male,5,7,24,30,17,8,5,6,102,2020 Q1,,
2020,1,Kaduna North,Female,0,4,19,28,11,9,3,2,76,2020 Q1,,
2020,1,Kaduna South,Male,1,5,34,44,39,23,11,5,162,2020 Q1,,
2020,1,Kaduna South,Female,1,3,15,23,12,9,4,4,71,2020 Q1,,
2020,1,Kagarko,Male,0,0,2,4,2,0,1,1,10,2020 Q1,,
2020,1,Kagarko,Female,0,0,1,0,1,0,0,1,3,2020 Q1,,
2020,1,Kajuru,Male,0,0,0,3,2,2,0,0,7,2020 Q1,,
2020,1,Kajuru,Female,0,0,1,1,2,4,3,0,11,2020 Q1,,
2020,1,Kaura,Male,0,0,1,0,7,1,3,5,17,2020 Q1,,
2020,1,Kaura,Female,0,0,1,0,0,0,0,1,2,2020 Q1,,
2020,1,Kauru,Male,0,1,1,1,9,3,0,0,15,2020 Q1,,
2020,1,Kauru,Female,0,0,0,2,3,0,0,0,5,2020 Q1,,
2020,1,Kubau,Male,0,0,0,2,2,4,2,1,11,2020 Q1,,
2020,1,Kubau,Female,0,,2,1,2,1,0,0,6,2020 Q1,,
2020,1,Kudan,Male,0,2,1,2,0,0,3,2,10,2020 Q1,,
2020,1,Kudan,Female,0,0,1,2,1,2,2,1,9,2020 Q1,,
2020,1,Lere,Male,0,1,2,7,4,2,2,2,20,2020 Q1,,
2020,1,Lere,Female,0,1,2,5,0,4,0,0,12,2020 Q1,,
2020,1,Markafi,Male,0,0,6,5,3,0,3,1,18,2020 Q1,,
2020,1,Markafi,Female,0,1,3,5,2,0,3,2,16,2020 Q1,,
2020,1,Sabon-Gari,Male,1,1,6,9,2,3,0,0,22,2020 Q1,,
2020,1,Sabon-Gari,Female,0,1,4,10,4,4,0,0,23,2020 Q1,,
2020,1,Sanga,Male,0,0,1,2,3,6,3,2,17,2020 Q1,,
2020,1,Sanga,Female,0,0,4,2,4,3,1,0,14,2020 Q1,,
2020,1,Soba,Male,0,0,2,5,2,0,0,3,12,2020 Q1,,
2020,1,Soba,Female,0,1,0,2,1,0,1,0,5,2020 Q1,,
2020,1,Zango-Kataf,Male,0,0,1,1,6,7,3,4,22,2020 Q1,,
2020,1,Zango-Kataf,Female,0,0,2,2,4,2,1,1,12,2020 Q1,,
2020,1,Zaria,Male,0,3,28,27,13,9,2,2,84,2020 Q1,,
2020,1,Zaria,Female,1,4,10,18,6,5,2,3,49,2020 Q1,,
